Player,height,two_pt_pct,ft_pct,three_pt_pct,player_id
Maurice Harkless,79,0.576,0.622,0.279,203090
Gerald Henderson,74,0.468,0.767,0.353,201945
Gerald Henderson,77,0.468,0.767,0.353,201945
Chris Kaman,84,0.487,1.0,0.25,2549
Meyers Leonard,84,0.527,0.761,0.377,203086
Damian Lillard,74,0.45,0.892,0.375,203081
CJ McCollum,75,0.463,0.827,0.417,203468
Luis Montero,79,0.4,0.75,0.111,1626242
Mason Plumlee,83,0.52,0.642,0.0,203486
Brian Roberts,73,0.48,0.894,0.357,203148
Noah Vonleh,82,0.457,0.745,0.239,203943
Lavoy Allen,81,0.516,0.63,0.0,202730
Rakeem Christmas,81,1.0,0.0,0.0,1626176
Monta Ellis,75,0.472,0.786,0.309,101145
Paul George,80,0.447,0.86,0.371,202331
George Hill,76,0.466,0.76,0.408,201588
Jordan Hill,82,0.507,0.712,0.0,201941
Solomon Hill,78,0.515,0.857,0.324,203524
Ty Lawson,71,0.419,0.686,0.333,201951
Ian Mahinmi,83,0.589,0.587,0.0,101133
C.J. Miles,78,0.474,0.75,0.367,101139
Glenn Robinson III,78,0.447,0.692,0.378,203922
Rodney Stuckey,77,0.453,0.829,0.241,201155
Myles Turner,83,0.506,0.727,0.214,1626167
Shayne Whittington,83,0.556,0.5,0.0,203963
Joe Young,74,0.423,0.8,0.217,1626202
Alan Anderson,78,0.409,0.733,0.324,101187
Bradley Beal,76,0.481,0.767,0.387,203078
DeJuan Blair,79,0.418,0.385,0.0,201971
Jared Dudley,78,0.534,0.735,0.42,201162
Jarell Eddie,79,0.278,1.0,0.319,204067
Drew Gooden,82,0.419,0.643,0.171,2400
Marcin Gortat,83,0.567,0.705,0.0,101162
J.J. Hickson,81,0.519,0.447,0.0,201581
Nenê,83,0.549,0.578,0.0,2403
Markieff Morris,81,0.458,0.735,0.303,202693
Gary Neal,76,0.489,0.855,0.41,202390
Kelly Oubre Jr.,79,0.492,0.633,0.316,1626162
Otto Porter Jr.,80,0.536,0.754,0.367,203490
Ramon Sessions,75,0.507,0.756,0.324,201196
Garrett Temple,77,0.453,0.728,0.345,202066
Marcus Thornton,76,0.46,0.848,0.337,201977
John Wall,75,0.448,0.791,0.351,202322
Justin Anderson,78,0.533,0.8,0.265,1626147
J.J. Barea,70,0.481,0.771,0.385,200826
Jeremy Evans,81,0.688,0.714,0.25,202379
Raymond Felton,73,0.463,0.847,0.282,101109
Devin Harris,75,0.532,0.721,0.329,2734
David Lee,81,0.533,0.763,0.0,101135
Wesley Matthews,76,0.432,0.863,0.36,202083
JaVale McGee,84,0.579,0.5,0.0,201580
Salah Mejri,86,0.636,0.587,0.0,1626257
Dirk Nowitzki,84,0.483,0.893,0.368,1717
Zaza Pachulia,83,0.469,0.768,0.0,2585
Chandler Parsons,81,0.54,0.684,0.414,202718
Dwight Powell,82,0.514,0.739,0.125,203939
Charlie Villanueva,83,0.503,0.917,0.273,101111
Deron Williams,75,0.454,0.869,0.344,101114
Giannis Antetokounmpo,83,0.537,0.724,0.257,203507
Jerryd Bayless,75,0.408,0.778,0.437,201573
Michael Carter-Williams,77,0.472,0.654,0.273,203487
Chris Copeland,81,0.467,0.857,0.278,203142
Jared Cunningham,76,0.364,0.655,0.308,203099
Tyler Ennis,75,0.48,0.735,0.333,203898
John Henson,81,0.566,0.59,0.0,203089
Damien Inglis,80,0.417,0.875,0.231,203996
O.J. Mayo,77,0.421,0.775,0.321,201564
Khris Middleton,79,0.466,0.888,0.396,203114
Greg Monroe,83,0.522,0.74,0.0,202328
Steve Novak,82,0.333,1.0,0.467,200779
Johnny O'Bryant,81,0.409,0.675,1.0,203948
Jabari Parker,80,0.502,0.768,0.257,203953
Miles Plumlee,83,0.601,0.576,0.0,203101
Greivis Vásquez,78,0.415,0.846,0.247,202349
Rashad Vaughn,78,0.319,0.8,0.293,1626173
Joel Anthony,81,0.6,0.75,0.0,201202
Aron Baynes,82,0.508,0.764,0.0,203382
Steve Blake,75,0.461,0.8,0.344,2581
Reggie Bullock,78,0.467,0.933,0.415,203493
Kentavious Caldwell-Pope,77,0.489,0.811,0.309,203484
Spencer Dinwiddie,77,0.409,0.576,0.1,203915
Andre Drummond,82,0.522,0.355,0.333,203083
Justin Harper,82,0.0,0.5,0.444,202712
Tobias Harris,80,0.518,0.831,0.335,202699
Darrun Hilliard,78,0.407,0.725,0.38,1626199
Reggie Jackson,74,0.464,0.864,0.353,202704
Stanley Johnson,78,0.41,0.784,0.307,1626169
Jodie Meeks,76,0.273,1.0,0.444,201975
Marcus Morris,80,0.467,0.749,0.362,202694
Anthony Tolliver,80,0.5,0.617,0.36,201229
Keith Appling,73,0.4,1.0,0.0,203951
Dewayne Dedmon,84,0.559,0.75,0.0,203473
Evan Fournier,79,0.506,0.836,0.4,203095
Aaron Gordon,80,0.531,0.668,0.296,203932
Mario Hezonja,80,0.504,0.907,0.349,1626209
Ersan İlyasova,81,0.458,0.721,0.371,101141
Brandon Jennings,73,0.409,0.731,0.329,201943
Devyn Marble,78,0.333,0.417,0.25,203906
Shabazz Napier,72,0.351,0.733,0.327,203894
Andrew Nicholson,81,0.536,0.785,0.36,203094
Victor Oladipo,76,0.475,0.83,0.348,203506
Elfrid Payton,75,0.451,0.589,0.326,203901
Jason Smith,84,0.493,0.806,0.25,201160
Nikola Vučević,82,0.512,0.753,0.222,202696
